Page,Balance,Colour,Symmetry,Proportion,Density,Final Score
57896,0.4226013255390979,,0.0,0.7085229176906038,0.1968749999999999,0.3319998108074254
66332,0.5168613515834051,,24.048156642235252,0.5959540274651498,0.1968749999999999,6.339461755320952
30552,0.2986509644746933,,36.586331103482465,0.8079453885782952,0.30842122395833327,9.500337170123448
37297,0.12105456349206345,,0.8283018867924529,0.5988780051852443,0.3396392144097222,0.47196841746987067
3721,0.6990750994668677,,0.0,0.6919758081605399,0.6183696831597222,0.5023551476967825
51041,0.6136827112257572,18.76962148139114,6.320122763517709,0.7440591275369799,-3.1552907986111114,4.658439057012094
2833,0.25500609616525927,,0.0,0.7152669743159318,-0.2676736111111113,0.17564986484251993
29289,0.3987845981712337,19.322415231616663,0.0,0.7065948323132456,-1.468831870122631,3.791792558395702
56784,0.829877942458095,,15.052382620991558,0.7955960385916566,-4.082693684895833,3.148790729286369
49888,0.19262581598573414,,0.0,0.7758892428571118,0.7566536458333334,0.4312921761690448
23684,0.058707200135166615,17.392794009317022,0.0,0.821343358404976,0.4460199652777779,3.743772906626989
24141,0.4653206891885797,,0.0,0.5938676615206433,0.5573470052083334,0.4041338389793891
59471,0.08019262945206429,,0.0,0.7270893261794994,0.20940170940170932,0.2541709162583182
42397,0.1141918206796444,,0.8522925130586188,0.711589274393974,0.4402621005202527,0.5295839271631224
13232,0.11671137329595527,,0.0,0.7859837678535084,0.46225802951388895,0.34123829266583816
22996,0.01689831775342232,19.38087056694991,0.0,0.6114619669029522,0.012499999999999956,4.004346170321257
38162,0.49384719716419156,,40.70166558137058,0.5794152450576479,0.1968749999999999,10.492950755898104
47195,0.18736924844493608,15.9584036340284,0.15607547255759813,0.794195513459549,-1.3531727430555556,3.1485742250869864
16030,0.20125216716064753,,0.0,0.6706108073702803,0.236016466926793,0.2769698603644302
40650,0.4741172038912642,,13.02182736218389,0.7552716015860551,0.17603298611111118,3.6068122884430798
41942,0.0,19.13924562114839,1.0,0.6754105722350526,0.1968749999999999,4.202306238676688
26486,0.5955113158912136,,0.16153977425063948,0.732105441783898,0.587568359375,0.5191812228251877
21343,0.4624166085309209,17.51386222662306,0.0,0.6012947600828737,0.319035674470457,3.7793218539414624
54243,0.055995899655743475,,31.425809636811373,0.7034095451280828,0.2313057413600892,8.104130205738823
29773,0.01506926161176847,,0.0,0.8162451507920084,0.28840300107181127,0.279929353368897
34842,0.4943685949670231,21.51375525745845,0.0,0.755106179959401,0.5026407469342252,4.65317415586382
63130,0.14279813548880338,19.4399983070535,0.06543218698072972,0.6043460444627677,-1.2006716579861112,3.8103806031999383
48260,0.0,,1.0,0.7629105722350525,0.0,0.4407276430587631
28861,0.5459637757114975,,40.73771284761298,0.730469614977489,-1.5727424749163879,10.110350940846395
32095,0.023658021913740557,,0.0,0.7685206057369862,0.0015445963541667052,0.19843080600122337
6523,0.07583664379439026,,0.0,0.5799050780463783,0.2224173169825343,0.2195397597058257
51411,0.1288827504007699,,0.47056330661423673,0.6605706350880659,0.7527430555555557,0.5031899369146571
67870,0.5392903044662614,,61.75355639709711,0.6928404519316955,-1.1928369140625001,15.448212559858142
30102,0.16442490108384344,18.594587028475292,0.0,0.5846711375841734,0.6534733072916666,3.9994312748869953
66762,0.20546564864603434,23.212102796544162,0.0,0.6924564866543759,0.6771721711259755,4.957439420594109
